會員編號	有無折扣	金額	付款方式	日期	別在意
1	0	615	信用卡	2020-04-20	0
1	1	5584	信用卡	2020-07-30	0
2	1	984	信用卡	2020-06-29	0
16	1	105280	信用卡	2020-06-20	0
2	1	5584	信用卡	2020-06-28	0
2	1	2160	信用卡	2020-06-27	0
2	1	9280	信用卡	2020-06-26	0
2	1	9664	信用卡	2020-06-25	0
2	1	2464	信用卡	2020-06-24	0
3	1	5584	信用卡	2020-06-28	0
3	1	2172	信用卡	2020-06-28	0
3	1	972	信用卡	2020-06-28	0
3	1	9280	信用卡	2020-06-26	0
3	1	9664	信用卡	2020-06-25	0
3	1	2464	信用卡	2020-06-24	0
4	1	5584	信用卡	2020-04-28	0
4	1	2172	信用卡	2020-04-28	0
4	1	972	信用卡	2020-04-28	0
4	1	9280	信用卡	2020-04-26	0
4	1	9664	信用卡	2020-04-25	0
4	1	2464	信用卡	2020-04-24	0
5	1	5584	信用卡	2020-05-28	0
5	1	2172	信用卡	2020-05-28	0
5	1	972	信用卡	2020-05-28	0
5	1	9280	信用卡	2020-05-26	0
5	1	9664	信用卡	2020-05-25	0
5	1	2464	信用卡	2020-05-24	0
6	1	5584	信用卡	2020-07-28	0
6	1	2172	信用卡	2020-07-28	0
6	1	972	信用卡	2020-07-28	0
6	1	9280	信用卡	2020-07-26	0
6	1	9664	信用卡	2020-07-25	0
6	1	2464	信用卡	2020-07-24	0
7	1	5584	信用卡	2020-08-28	0
7	1	2172	信用卡	2020-08-28	0
7	1	972	信用卡	2020-08-28	0
7	1	9280	信用卡	2020-08-26	0
7	1	9664	信用卡	2020-08-25	0
7	1	2464	信用卡	2020-08-24	0
8	1	5584	信用卡	2020-08-28	0
8	1	2172	信用卡	2020-08-28	0
8	1	972	信用卡	2020-08-28	0
8	1	9280	信用卡	2020-08-26	0
8	1	9664	信用卡	2020-08-25	0
8	1	2464	信用卡	2020-08-24	0
9	1	5584	信用卡	2020-08-28	0
9	1	2172	信用卡	2020-08-28	0
9	1	972	信用卡	2020-08-28	0
9	1	9280	信用卡	2020-08-26	0
9	1	9664	信用卡	2020-08-25	0
9	1	2464	信用卡	2020-08-24	0
10	1	5584	信用卡	2020-08-28	0
10	1	2172	信用卡	2020-08-28	0
10	1	972	信用卡	2020-08-28	0
10	1	9280	信用卡	2020-08-26	0
10	1	9664	信用卡	2020-08-25	0
10	1	2464	信用卡	2020-08-24	0
11	1	5584	信用卡	2020-08-28	0
11	1	2172	信用卡	2020-08-28	0
11	1	972	信用卡	2020-08-28	0
11	1	9280	信用卡	2020-08-26	0
11	1	9664	信用卡	2020-08-25	0
11	1	2464	信用卡	2020-08-24	0
12	1	5584	信用卡	2020-08-28	0
12	1	2172	信用卡	2020-08-28	0
12	1	972	信用卡	2020-08-28	0
12	1	9280	信用卡	2020-08-26	0
12	1	9664	信用卡	2020-08-25	0
12	1	2464	信用卡	2020-08-24	0
13	1	5584	信用卡	2020-08-28	0
13	1	2172	信用卡	2020-08-28	0
13	1	972	信用卡	2020-08-28	0
13	1	9280	信用卡	2020-08-26	0
13	1	9664	信用卡	2020-08-25	0
13	1	2464	信用卡	2020-08-24	0
14	1	5584	信用卡	2020-08-28	0
14	1	2172	信用卡	2020-08-28	0
14	1	972	信用卡	2020-08-28	0
14	1	9280	信用卡	2020-08-26	0
14	1	9664	信用卡	2020-08-25	0
14	1	2464	信用卡	2020-08-24	0
15	1	5584	信用卡	2020-08-28	0
15	1	2172	信用卡	2020-08-28	0
15	1	972	信用卡	2020-08-28	0
15	1	9280	信用卡	2020-08-26	0
15	1	9664	信用卡	2020-08-25	0
15	1	2464	信用卡	2020-08-24	0
18	0	3000	信用卡	2020-08-24	0
18	1	9664	信用卡	2020-08-25	0
19	0	3000	信用卡	2020-08-24	0
19	1	9664	信用卡	2020-08-25	0
