訂單編號	課程編號	金額	別在意
1	4	615	0
2	1	3000	0
2	2	3980	0
3	4	615	0
3	5	615	0
4	6	120000	0
4	7	5800	0
4	8	5800	0
5	1	3000	0
5	2	3980	0
6	3	2100	0
6	6	600	0
7	7	5800	0
7	8	5800	0
8	9	5000	0
8	10	4200	0
8	11	2880	0
9	12	1280	0
9	13	1800	0
10	1	3000	0
10	2	3980	0
11	3	2100	0
11	4	615	0
12	5	615	0
12	6	600	0
13	7	5800	0
13	8	5800	0
14	9	5000	0
14	10	4200	0
14	11	2880	0
15	12	1280	0
15	13	1800	0
16	1	3000	0
16	2	3980	0
17	3	2100	0
17	4	615	0
18	5	615	0
18	6	600	0
19	7	5800	0
19	8	5800	0
20	9	5000	0
20	10	4200	0
20	11	2880	0
21	12	1280	0
21	13	1800	0
22	1	3000	0
22	2	3980	0
23	3	2100	0
23	4	615	0
24	5	615	0
24	6	600	0
25	7	5800	0
25	8	5800	0
26	9	5000	0
26	10	4200	0
26	11	2880	0
27	12	1280	0
27	13	1800	0
28	1	3000	0
28	2	3980	0
29	3	2100	0
29	4	615	0
30	5	615	0
30	6	600	0
31	7	5800	0
31	8	5800	0
32	9	5000	0
32	10	4200	0
32	11	2880	0
33	12	1280	0
33	13	1800	0
34	1	3000	0
34	2	3980	0
35	3	2100	0
35	4	615	0
36	5	615	0
36	6	600	0
37	7	5800	0
37	8	5800	0
38	9	5000	0
38	10	4200	0
38	11	2880	0
39	12	1280	0
39	13	1800	0
40	1	3000	0
40	2	3980	0
41	3	2100	0
41	4	615	0
42	5	615	0
42	6	600	0
43	7	5800	0
43	8	5800	0
44	9	5000	0
44	10	4200	0
44	11	2880	0
45	12	1280	0
45	13	1800	0
46	1	3000	0
46	2	3980	0
47	3	2100	0
47	4	615	0
48	5	615	0
48	6	600	0
49	7	5800	0
49	8	5800	0
50	9	5000	0
50	10	4200	0
50	11	2880	0
51	12	1280	0
51	13	1800	0
52	1	3000	0
52	2	3980	0
53	3	2100	0
53	4	615	0
54	5	615	0
54	6	600	0
55	7	5800	0
55	8	5800	0
56	9	5000	0
56	10	4200	0
56	11	2880	0
57	12	1280	0
57	13	1800	0
58	1	3000	0
58	2	3980	0
59	3	2100	0
59	4	615	0
60	5	615	0
60	6	600	0
61	7	5800	0
61	8	5800	0
62	9	5000	0
62	10	4200	0
62	11	2880	0
63	12	1280	0
63	13	1800	0
64	1	3000	0
64	2	3980	0
65	3	2100	0
65	4	615	0
66	5	615	0
66	6	600	0
67	7	5800	0
67	8	5800	0
68	9	5000	0
68	10	4200	0
68	11	2880	0
69	12	1280	0
69	13	1800	0
70	1	3000	0
70	2	3980	0
71	3	2100	0
71	4	615	0
72	5	615	0
72	6	600	0
73	7	5800	0
73	8	5800	0
74	9	5000	0
74	10	4200	0
74	11	2880	0
75	12	1280	0
75	13	1800	0
76	1	3000	0
76	2	3980	0
77	3	2100	0
77	4	615	0
78	5	615	0
78	6	600	0
79	7	5800	0
79	8	5800	0
80	9	5000	0
80	10	4200	0
80	11	2880	0
81	12	1280	0
81	13	1800	0
82	1	3000	0
82	2	3980	0
83	3	2100	0
83	4	615	0
84	5	615	0
84	6	600	0
85	7	5800	0
85	8	5800	0
86	9	5000	0
86	10	4200	0
86	11	2880	0
87	12	1280	0
87	13	1800	0
88	1	3000	0
89	9	5000	0
89	10	4200	0
89	11	2880	0
90	1	3000	0
91	9	5000	0
91	10	4200	0
91	11	2880	0
