文章名稱	主題類別	行業類別	內文	日期	發文者	別在意
髮型師將頭髮剪壞	問題討論	A	正在考慮要往髮型師發展，想知道如果不小心把客人頭髮剪壞了怎麼辦？	2020-01-16	2	0
成為攝影師之前	經驗分享	A	在討論攝影師這個職業之前，建議先定義『想紀錄什麼』?;攝影師的職業有各種方面。;從職場而言，分為『全職』跟『兼職』；從設備而言，也可以分為『影音』跟『平面』。;但是我們必須先認知到攝影是一個紀錄的工作，卻又同時可能是『紀錄加入個人想法』的工作。;如果你想成為一個攝影師是因為想做一個紀錄者，建議平日就外出嘗試紀錄自己想紀錄的事情。;如果你希望的是將一些畫面以各種方式，讓他更像是畫作，或是任何讓人驚訝的影像，取景的方式，或許再一些後製軟體，會是你需要學習的。;這方面資訊可以參考相片館攝影如婚紗照、滿月照、畢業照、電影攝影師......等。	2020-02-01	3	0
關於保險業務工作時間	問題討論	E	請問當保險業務工作時會消耗很多時間在這上面嗎?因為自己家人有在當保險業務 看起來很忙 是不是需要很大的耐心及理解力去面對客戶?	2020-03-09	4	0
請問當律師的工作穩定嗎? 薪資是看接案子的多寡做衡定嗎?	經驗分享	E	律師收入的狀況分為三種,受雇,合夥,自營/合署;受雇律師就是固定領月薪,事務所或公司老闆每年會看業績,表現與狀況額外於年終時加發獎金;自營/合署律師,就是自付盈虧,看你當年度接案狀況減去事務所的成本與稅費,剩下的錢就是全是你的;合夥律師比較介於兩者之間,在事務所內有業績壓力,每月或季有績效的問題,但也會領一個薪資,通常初級合夥人薪資高而分紅少,高級或資深合夥人分紅高但薪資少或是不拿薪資,所以就也得看你未來的選擇而定	2020-05-20	5	0
轉職國貿相關工作	問題討論	C	想問一下在從事國貿相關工作的大家，如果我成功取得國貿丙級證照、海關保稅人員證照，對於我找國貿工作是否有幫助？儘管我不是本科系學生，只是餐飲管理系畢業，公司讓我去面試的機會高嗎？還是我還需要特別加強自己的什麼方面？是否應該先從業務助理做起？	2020-01-27	6	0
分享2020稅法變動解析資訊講座	經驗分享	C	之前有看過這位會計師的稅法影片，可以搜尋王會計，覺得他的影片都很不錯;講解許多稅法的最新變革，提供資訊給需要的朋友們~	2020-03-25	7	0
少子化的問題對老師的求職是否有極大的影響?	問題討論	S	少子化現象儼然已成為世界的共同趨勢，而臺灣所面臨的少子化情況更為明顯，甚至高過世界先進國家。人口結構的改變間接衝擊到整個社會、經濟、家庭、文化，甚至直接反映在教育體系上。在這樣的人口結構現象之下，少子化的問題對老師的求職是否有極大的影響?	2020-09-04	8	0
語文補習班老師可能會遇到甚麼困難??	經驗分享	S	1. 自我管理難。在補教業，「自我管理」包括教師必須常常學習新的教學方式、不停地提高自我英文能力，否則很容易就會被學生或家長打槍，失去續教的宮嘬機會。問題是，人都有惰性，依但在眼前1-2年內工作穩定了，舊部會想要再精益求精，所以過了35歲面臨被市場淘汰的狀況者大有人在。;2.人際關係處理難。在少子化的情況下，如何和過度保護孩子或放任孩子的父母、對英文學習沒興趣的學生、在商言商力求班級學生續讀率為100%的主管、某些對種族有偏見的外籍老師溝通是對教師更通能力的一大考驗。要在不得罪對方、卻又要能忠於自我理念、使這份工作對你深具意義而能繼續下去，的確需要有耐心、毅力、轉念同理能力、語溝通談判技巧是不可免的。;3.改變生活形態難。補習班上班時間主要在週間下午約1:00~10:00、週末更是熱門工作時段。因為工作時間不同，所以你不容易和家人、老同學、好朋友一起在週間晚上聚餐、週末出遊，而補習班同事們兼職者通常多過全職者，建立同事情誼不易，這也是是至今補教界教師流動率大的原因之一。	2020-07-25	9	0
想轉前端工程師，需要建議指點	問題討論	I	想轉前端工程師，無奈我本來就在傳產工作，而且沒有那麼多時間和金錢去資策會上課，而且*匠、聯*好像也沒那麼好，不知道還有哪些電腦補習班比較推，但是又怕自己繳了一堆錢，結果好像又沒學到什麼，去找工作之後才發現學的東西無用武之地，聽說有很多網路教學的平台，有推薦嗎？;（我有找到達內教育，是網路影片那種，但是不知道評價）	2020-06-24	10	0
資工學歷跟資策會出來哪個好	經驗分享	I	看到板上或網路上似乎有很多工程師都是非本科進資策會出來，或是本科但還是進資策會然後找到工作。既然資策會那麼神，而且業界也有很多都是非本科經過職訓局或資策會出來的工程師。那麼大學學歷還是必要的嗎？純好奇討論，勿戰。單純想問問在業界的人的想法，因為在學校也大多自學才能學到比較多有可能工作用到的技能，學校那些教授也頂多教你一些基礎的。畢竟學校也不是職訓單位，想要有工作卻必須有大學學位這種想法讓我很困惑。	2020-03-03	11	0
遇到刁難的客戶	問題討論	R	當餐廳服務員會常遇到刁難的客戶嗎？	2020-03-15	12	0
