編號	職業	類型	介紹	內容	技能	不到一年_最低月薪	不到一年_最高月薪	一年~三年_最低月薪	一年~三年_最高月薪	三年~五年_最低月薪	三年~五年_最高月薪	五年~十年_最低月薪	五年~十年_最高月薪	十年以上_最低月薪	十年以上_最高月薪	圖片	別在意
1	保全人員	C	受保全業雇用從事現金或其他貴重物品運送之安全維護，及執行特定處所之防盜、防災、巡邏、守護等的保全工作	;負責門禁管制、車輛出入指揮、賣場巡邏、防竊作業及竊盜處理工作等安全維護工作;收發文件;監督及參與建築及設備之清潔、修理及維護;針對特定處所進行監視，維持公共安全，減少火災、竊盜或其他危險;控制照明、取暖、空氣調節及通風等設備;運送並且保護重要物品;社區安全維護管理、保障客戶生命和財產安全	;人員/車輛/貨物進出門禁管制;工廠安全管理;安全勤務工作;車輛導引及園區安全維護;保全勤務管理與稽核;員工出入管制	27117	29119	27948	29732	28584	30417	29830	32485	32379	34646	./img/career/保全人員.svg	0
2	保險業務	E	透過專業分析，替顧客的人生分散風險	;拜訪潛在顧客:替顧客風險事件發生時對經濟的衝擊，以及分析如何預先準備。;量身訂作保障:依不同需求及每個人可固定提撥的保費，量身訂作專屬保障內容。;協助理賠申請:風險發生時，協助顧客依照保單條款，準備相關文件，跟保險公司取得財務補償。	;不動產估價;不動產投資顧問;不動產租賃服務;不動產專業諮詢;不動產買賣仲介服務;保險相關業務諮詢	29065	41675	31842	47849	34884	54939	38217	63078	41868	72424	./img/career/保險業務.svg	0
3	品檢人員	I	掌管公司內部品質管制業務之規劃、協調、指導及考核等活動之管理者	;製程品質管理、物品、設備存貨地點環境分析，依物品或設備特性找尋合是儲藏地點，排除儲存過程中可能帶來危害品質之物品;物品、設備、供應商、客戶服務等品質管理制度建立使物品、器材等品質符合標準;所需表單資料規劃，如:品質檢驗表、檢測數據記錄表等;品保人員工作職掌分配、品保系統作業標準化;持續改善品質管理流程;執行EMC／EMI安規測試驗證與報告;具備TQM品質管理能力;議題操作與危機處理;督導人員工作績效	;製程檢驗控制程序;出貨檢驗控制程序;品質保證程序;實驗程序;質量體系運作管理程序;管理評審程序	24838	31565	27014	34822	29945	39795	31846	43738	33681	47093	./img/career/品檢員.svg	0
4	產品行銷人員	E	負責新產品行銷企劃案之撰寫、規劃與執行	;蒐集市場情報，並擬定、分析行銷策略和價格策略。;規劃與產出行銷工具。;維護既有客戶，開發新客戶，並推展業務。	;控管網站內容品質;產品說明文案發想及撰寫;進行商品管理;進行產業競爭力及市場調查分析;進行網路行銷及服務的成效追蹤;實體店鋪市場行銷計畫擬定及執行	30709	45006	33060	49483	35592	54405	38318	59817	41252	65768	./img/career/商品行銷.svg	0
5	國貿人員	C	處理國際貿易事務，如進出口作業、市場開發、接單、訂單、報關、參展等工作	;協助業務主管開發國外廠商及現有客戶之連絡維繫、查核訂單、核對國外客戶商業文件內的請購數量;海外客戶電話連絡及書信往來處理，及處理及審查進出口文件內容;向有關單位申請核發輸入/出許可證、將許可證件送至外匯銀行開發信用狀（即由銀行承諾付款的文件）;辦理通關、核對通關手續後的押匯文件（賣方依據信用狀條件將所有相單據交給往來銀行，取得貨款）及贖單（由買方付款給銀行，以取得提貨單等單據））;整理確認過的商業文件並郵寄給國外客戶;配合生產及業務部門排定出貨車輛、船期或航機艙位;依據上級規劃籌備以及參與國際各項相關展覽;協助確認產品規格、訪價、安排打樣、供樣、處理詢價、報價等事宜	;國際物流業務開發;空運貨物報關提貨;客戶拜訪，報價策略;訂單處理與跟催;專案業務開發企劃;海外市場的開拓	28897	39565	30651	41160	32505	45527	35016	50548	36529	53501	./img/career/國貿人員.svg	0
6	送貨人員	R	負責貨物的配送、裝卸及貨款回收	;櫃檯接待、收發要運送的貨物;出、退、換貨作業事宜、清點貨物;運送貨物並保護貨物的完整;將貨品送到客戶手中，並請客戶進行簽收;供應商合約書相關協助作業處理	;收發要運送的貨物;負責包裹分類;負責貨物配送、流通;配合公司安排運送貨物;支援外點營業單位調貨，送貨;具職業大貨車駕照	27122	29231	28721	31565	30051	31625	31176	32927	31935	34937	./img/career/送貨人員.svg	0
7	室內設計師	A	依據業主需求及經費預算，進行室內空間、設備、動線之規劃、並繪製平面配置圖與監督施工	;配合屋主需求規劃空間，並協助添購裝修材料及家具產品設計等;與管線配置員討論將管線配置規劃進設計內;完成設計圖(平面圖、三視圖、立面圖、透視圖、管線圖等);規劃相關機電與消防系統，使業主居住更便利、安全且合法;專案簡報、監督施工人員完成室內裝潢工程;成本估算與訪價	;工程協調與問題處理;繪製施工圖與裝配圖;立體空間的陳列規劃;提供技術諮詢服務;工程品質管理;繪製2D╱3D模型設計圖	26492	33419	29407	38513	32643	44385	36235	51151	40222	58948	./img/career/室內設計師.svg	0
8	工程師	I	從事資訊工程設計，電腦軟體的程式設計、修改、安裝及維護	;從事電腦軟體的程式設計、修改、安裝、測試及維護;確認軟體程式的目的與功能，進行程序開發及測試，並撰寫軟體程式技術白皮書;從事相關系統程式開發、管理與維護，及客戶服務與支援;專案支援，如客戶教育訓練、技術文件撰寫;網頁設計及軟體應用;模組化系統設計;日常檢查及異常狀況初步研判;撰寫測試計劃及測試報告書;程式偵錯	;版本控制工具;資料庫建置;網絡基礎知識;程式優化處理;程式偵錯能力;維護系統	34400	47222	37124	48857	40451	54695	44352	60998	46521	64953	./img/career/工程師.svg	0
9	賣場管理人員	E	賣場大小事都要知道，帶領大家持續成長	;人員管理:需要管理店內員工的招募、出缺勤、業績、薪水、訓練、升遷。;商品管理:掌管商品的進出貨數量和品質。;制定銷售策略:思考如何讓商品賣得更好。例如：舉辦促銷活動。	;負責商品庫存管理;負責銷售商品;產品及服務標準化設計;顧客接待服務;短租營業推展及業務管理;銷售人員招募及管理	27909	36884	29372	39351	30911	41984	32531	44792	34236	47788	./img/career/樓管.svg	0
10	廚師	R	設計料理的菜單，並負責準備、處理、烹調相關食材	;設計菜單;依據餐單準備相關的食材;將食材清洗並做簡單的處理備用;根據顧客的點單進行烹調;清理以及保養設備	;日式料理烹調;員工餐食烹煮;烹調中式料理;設計料理菜單;廚房的衛生安全;整體及設備清潔維護	29162	32622	33174	34895	36520	38209	39936	42023	46191	48771	./img/career/廚師.svg	0
