課程名稱	類型	大綱	課程時數	價格	預期習得	適合對象	講師	講師介紹	影片連結	課程圖片	講師圖片	課程收穫	別在意
社會心理學	S	;社會心理學介紹與利社會行為;社會認知與社會知覺;侵犯行為與攻擊行為;從眾行為與流行現象;團體行為與組織領導;人際關係與人際吸引;偏見;網路中的社會心理現象;社會心理學的相關應用	9	3000	;認識社會心理學的知識範疇與方法。;覺察社會認知的心理法則，個人心理與社會環境的交互作用。;提升學習者對於社會心理個個主題面向的觀察與思辯能力。;結合學習者的專業知識與應用社會心理學的知識，以達到個人與社會歷程的雙贏發展。	;老師、客服人員、社會工作者等經常性與人接處的工作者;正在學習社會心理學的人;希望提升社交能力並想藉此課程提升社會心理	劉威德	現任雲林科技大學通識中心主任，具有數位課程豐富的經驗，專長是心理計量學、心理測驗與評量、職業教育與心理輔導。	https://www.youtube.com/embed/WDOYFHorkqU?list=PLS0SUwlYe8cyHpUp4NnMLkalhAk4K-2S7	./img/course/course_img/S/課程照片-社會心理學.png	./img/course/course_img/S/講師-社會心理學.jpg	社會心理學是探討人們如何知覺與認識社會世界、如何進行人際互動，以及社會情境之影響的學科。本課程之主要目的在於：瞭解社會心理學關心的基本議題，並瞭解重要的理論和概念、思考與討論相關社會現象與經驗。	0
翻轉課堂的職業講師祕訣	S	;現場學立刻用，各種教學技術的示範應用;建構自己的教學課程——ADDIE系統建構方式：課程分析（Analysis）、設計（Design）與發展（Development）;精彩課程的執行關鍵（Implementation）：開場、過程、結尾;如何做得更好？檢查、評量、改進、學習與修練;解鎖課程	5	3980	;系統化ADDIE課程建構方式，實務示範如何發展一門完整課程。;講師講解、教學工作坊實境、重點技巧回放。讓您點燃學習者的熱情、從此沒有冷場。	;學校老師;企業主管、內部講師;有教學需求的夥伴們	王永福	職業講師迄今13年經歷，核心課程為「專業簡報力」、「教學的技術」，指導對象包含大學教授、醫師、律師、高科技業主管、企業經理人、創業家等，授課的客戶涵括百大企業中七成以上，包括台積電、鴻海、聯發科、西門子、諾華、Google、Nike、Gucci、IKEA等知名企業，經常創下滿意度及NPS滿分紀錄。著有暢銷書《教學的技術》、《上台的技術》等。同時也是博士候選人，核心研究教學的技術與學習理論。是許多TEDx講者及職業講師的教學教練，其教學技術被許多老師應用於不同教學現場，效果廣受推薦。	https://www.youtube.com/embed/TliKR2AejnI	./img/course/course_img/S/課程照片-翻轉課堂的職業講師祕訣.jpg	./img/course/course_img/S/講師-翻轉課堂的職業講師祕訣.jpg	本次線上課程特別複刻教學的技術——「教學工作坊」，邀請學校老師、企業家、高階主管、醫師、律師，重新回到教室當學生。由福哥親自示範，你將觀察職業講師的教學技巧，如何融入真實課堂，徹底公開教學技術的精華訣竅。	0
人工智慧上手實作班	I	;Google,TensorFlow,人工智慧開發平台介紹;TensorFlow,類神經網路設計;TensorFlow,影像個案研究;TensorFlow,時間序列資料的訓練	18	2100	;設計TensorFlow人工智慧應用程式;Tensor使用方法介紹、類神經網路運算、深度學習演算	;高階軟體開發工程師;電子/電機/資訊相關工程師;醫學工程研究人員	Isaac 	Isaac畢業於台大電子所，主要專長為人工智慧及資料分析，擅長影像辨識、金融數據分析等問題。過去曾於多處擔任AI及資料科學講師，同時，也曾在許多上市櫃公司但任內訓講師及顧問。	https://www.youtube.com/embed/QDdVCi4MNro	./img/course/course_img/I/課程照片-人工智慧TENSORFLOW上手實作班 .jpg	./img/course/course_img/I/講師-人工智慧TENSORFLOW上手實作班.jpg	隨著深度學習與人工智慧開發技術的日趨成熟，目前已經有許多資源豐富的平台可供開發者選擇。由於Python程式語言提供較高階的應用程式介面，不但可外掛許多開發資源，還有眾多網路上開發者的心得分享可供參考，因此現今已經被大多數的開發者所使用。	0
快速提昇簡報力、溝通力	E	;奠定表達基礎;培養自信竅門;善用情緒表達;掌握聲音與肢體;開啟對話能力;建立個人風格	2	615	;掌握內容、社群跟商務三者對於行銷活動的重要性。;瞭解在進行行銷活動時，時間與金錢之前的關聯性。	;如果您想要學習更高階簡報設計或者更複雜的技巧，本課程可能並不適合你。;本課程適合己有教學內容，但不知如何編制課程大綱的你。或者想要學習如何豐富教學內容的你。	Leo	台南出生、高雄長大。讀了造船工程科卻跑去當了三年的職業軍人。當職業軍人的同時又成為義務張老師電話諮詢志工。從業績掛單到月收入20萬時跑去開餐廳。在一無所有的時候走入了五術命理的領域。才發現，這些過去是為了奠定現在的我。	https://www.youtube.com/embed/XJZSb-JC2pc	./img/course/course_img/E/課程照片-提昇你的簡報力：九個步驟快速提昇你的簡報力、溝通力.jpg	./img/course/course_img/E/講師-課程-提昇你的簡報力：九個步驟快速提昇你的簡報力、溝通力.jpg	 如果你是剛踏出社會的新鮮人。如果你是想要提昇簡報的能力來為職場加分。如果你擁有很棒的想法，卻無法清楚表達讓人瞭解。這堂課絕對打開你對簡報與溝通的大門。	0
行銷=內容x社群x商務	E	;色彩的重要性;課程介紹;M理論;品牌力;消費者;印象;行銷情境;品牌定位;故事的生成;行銷如何置入	2	615	;掌握內容、社群跟商務三者對於行銷活動的重要性。;瞭解在進行行銷活動時，時間與金錢之前的關聯性。	;對於行銷產品或是服務完全沒有頭緒的行銷人員;不清楚社群在行銷活動當中扮演什麼角色的行銷人員;準備進行行銷活動的行銷專員	慕課	領域包括網路行銷、軟體開發、視覺設計、資料科學等等，目標是希望讓台灣的所有人能夠自由的教學、自由的學習。慕課會協助並輔導所有的講師進行課程錄製、推廣、定價，希望每個講師都能夠得到成功。慕課股份有限公司同時與悠識數位、智庫驅動等多個知名教育單位合作，是台灣線上課程最好的入口。	https://www.youtube.com/embed/IhZHoA0T1UE	./img/course/course_img/E/課程照片-新世代行銷法則：行銷 = 內容 X 社群 X 商務.jpg	./img/course/course_img/E/講師-新世代行銷法則：行銷 = 內容 X 社群 X 商務.jpg	內容，不只是圖、文、設計、包裝、影像等等，你產品本身也屬於內容的一部分。社群，不只是指線上的社群，它也包括線下的部分。商務，是指你交付商品或服務的方式或管道。	0
前端工程師就業養成班	I	;網頁視覺設計;UIUX工具操作與UX概論;HTML與CSS入門;網頁動態效果與RWD排版;javascript入門與進階;網站建置;資料庫設計建置;網站分析規劃;網頁動態與UI技術(Jquery+jQueryUI),JS與Node.js程式庫資料整合	600	1200	;建立自己的配色技巧與核心觀念，以及對於色彩的個人品味。;建立色彩品味資料庫，並將「色彩學」運用在設計實務上。	;軟體開發者。;無基礎者。;網站設計者。	呂安妮	於IBM工作資歷15年,2020全國最佳網頁設計獎得主,於資策會教課5年,直播金魚也能懂得前端課程系列,讓些貧困的孩子也能免費學習基礎,擅長設計,與程式整合。	https://www.youtube.com/embed/ZavL9y4Adrk	./img/course/course_img/I/課程照片-網頁開發：金魚也能懂得程式設計.jpg.png	./img/course/course_img/I/講師：金魚也能懂得程式設計.jpg	從網頁切版、RWD、操作 DOM 事件、使用 AJAX 與串接 API 等前端能力，到使用 Node.js 與 MongoDB 建立後端功能，你將深入瞭解網路應用程式運作的每個環節，更能親手打造自己的產品。	0
酒及飲料調製	R	;飲料調製概論與五味調配原理;茶飲知識;咖啡知識;冰品知識;飲料業安全衛生守則;飲料調製器具的使用法;吧檯清潔、作業準備與善後作業;搖盪法飲料製作;虹吸式咖啡與濾杯式咖啡製;水果切盤與盤飾技巧	60	5800	;取得飲料調製及國際咖啡師證照及創意甜點製作技巧及就業、創業所需知識	;相關科系學生。;餐飲產業工作者。;對飲品有興趣者	李語宸	美波士頓調酒學校。曾獲IBA世界盃國際調酒大賽中，以台灣之名榮獲4次世界盃冠軍(65個會員國)、2次亞軍、3次季軍及一百多面國際冠亞季軍獎牌、榮獲I.B.A國際大獎－飛鷹獎、國際調酒師協會(I.B.A)國際認證委員、世界盃調酒大賽國際裁判，2015年破IBA世界盃記錄，獲雙冠軍；使台灣團隊獲得Super_Team。	https://www.youtube.com/embed/T6Bl1e39rM4	./img/course/course_img/R/課程照片-線上實作：酒及飲料調製.jpg	./img/course/course_img/R/講師-線上實作：酒及飲料調製.jpg	了解學員的需求，觀察市場趨勢與型態分析，細心籌備與規劃，給予學員有系統的學習方式，同時也不間斷的更新並調整學習內容。我們相當注重實務學習，重視專業技術，更重視正確的態度，推廣其藝術價值與熱情。	0
國際貿易行銷	C	;產品型錄製作;供應商的開發與管理;貿?函電-貿易英文書信閱讀與寫作;進/出口價格核算;報價作業;商業信用?分析;產品SHIPPING安排;外觀檢驗;貿?單據製作;挑選適當的行銷活動	78	5800	;學習國際貿易行銷理論以因應企業需求及國貿現況，透過專業的學科課程，培育人才具備多元見識、國際觀及國貿能力；以及專業術科演練及實務教學、訓練學員兼具獨立思考與解決問題，以期讓學員順利投入國際貿易產業。	;相關科系學生。;貿易行銷工作者。;對貿易行銷有興趣者。	賴如川	弘強貿易股份有限公司/董事長。從事兩岸三地貿易近20年，實際從事貿易業超過30年，長期擔任職訓局、國貿局委辦之國際貿易實務班，台中世貿中心、逢甲大學、外貿協會國貿實務班講師，並於多所大專院校及研究所擔任選修課程及專題講座，著有《外銷企業E化實務》一書。	https://www.youtube.com/embed/WyfskPH92x4	./img/course/course_img/C/課程照片-職場技能提升：國際貿易行銷.jpg	./img/course/course_img/C/講師-職場技能提升：國際貿易行銷.jpg	進出口程序概要、國際貿易交易條件、貿易條件解說與運用、國際貿易報價與訂約實務。國際匯兌之簡介、貿易型態之種類、貿易流程、貿易商資格之取得、進出口貨品管理之認識、貿易風險、貿易商常發生之錯誤觀念。	0
初級會計基礎班	C	;瞭解會計基本慣例與原則;說明會計之基本概念與會計憑證;介紹平時會計處理程序：分錄、過帳、試算;介紹期末會計處理程序：調整、結帳、編表;實例演練	12	5000	;快速瞭解會計基本概念理論、帳務處理程序與實務作業，是會計入門者必修的課程	;未曾研修會計課程。;對會計課程有興趣。;預備從事會計工作者。	黃淑卿	有近五年的授課經驗，講課風格幽默詼諧、深入淺出。主講課程：註冊會計師考試：財務成本管理、公司風險與策略管理；中級會計職稱考試：財務管理、經濟法；會計從業資格考試：財經法規與會計職業道德。	https://www.youtube.com/embed/aXZL2jdehYs	./img/course/course_img/C/課程照片-職場技能提升：初級會計基礎班.jpg	./img/course/course_img/C/講師-職場技能提升：初級會計基礎班.jpg	為幫助初學者建立正確之會計邏輯觀念，以及實務帳務處理，以便在職場上能馬上上手，並介紹會計之相關法規，讓初學者也能認識瞭解與其切身有關之法令規章，以避免觸法。課程不斷依照學員需求更新，敬請把握機會!!!	0
財報分析基礎雲端班	C	;以一公司為實例，配合財報分析的觀念，說明分析的先後順序與步驟。;透過範例的解說，逐步介紹如何看懂財務報表？如何計算比率？如何解說計算的結果？;學會獨立計算並分析公司的短期週轉能力、長期償債能力、獲利能力與經營績效。;以一公司為實例，配合財報分析的觀念，說明分析的先後順序與步驟。;幫助您學習獨立完成專業的財務報表分析報告。	6	4200	;透過範例教你看懂財務報表，加強閱讀及分析財務報表的專業能力，學習獨立完成財報分析	;非財會人員但對財報分析運作有興趣；中小企業主、老闆(娘);有財務分析基礎但對財報最後結果無法解讀者;公司會計人員、會計事務所從業人員	詹淑雯	講師證照及資歷：會計師／東吳大學會計學系碩士畢業東吳大學、實踐大學教育推廣部、中國文化大學推廣教育部、台灣工商稅務出版社、台灣稅務研究會、勵行補習班、記帳士公會（台北市、宜蘭市、花蓮市、台中市、嘉義市）、記帳及報稅代理人公會（嘉義市、彰化市）、峻誠45104教育學院。	https://www.youtube.com/embed/55wxTRua86k	./img/course/course_img/C/課程照片-職場技能提升：財報分析基礎雲端班.jpg	./img/course/course_img/C/講師-職場技能提升：財報分析基礎雲端班.jpg	學會獨立計算並分析公司的短期週轉能力、長期償債能力、獲利能力與經營績效。加強閱讀及分析財務報表的專業能力，提供管理者做為經營及投資決策的參考，提昇企業的經營績效。	0
